Trial,Strategy,Threshold_Dist,Final_Fraction,TimeToConverge
0,Random,Fixed_0.2,0.011367641875220304,1
0,Degree,Fixed_0.2,0.9955939372576665,9
0,Betweenness,Fixed_0.2,0.9955939372576665,11
1,Random,Fixed_0.2,0.011279520620373634,2
1,Degree,Fixed_0.2,0.9955939372576665,9
1,Betweenness,Fixed_0.2,0.9955939372576665,11
2,Random,Fixed_0.2,0.012160733168840324,3
2,Degree,Fixed_0.2,0.9955939372576665,9
2,Betweenness,Fixed_0.2,0.9955939372576665,11
3,Random,Fixed_0.2,0.011455763130066972,2
3,Degree,Fixed_0.2,0.9955939372576665,9
3,Betweenness,Fixed_0.2,0.9955939372576665,11
4,Random,Fixed_0.2,0.011367641875220304,2
4,Degree,Fixed_0.2,0.9955939372576665,9
4,Betweenness,Fixed_0.2,0.9955939372576665,11
0,Random,Fixed_0.2,0.12416284807895664,23
0,Degree,Fixed_0.2,0.9955939372576665,7
0,Betweenness,Fixed_0.2,0.9958583010222065,6
1,Random,Fixed_0.2,0.9957701797673599,36
1,Degree,Fixed_0.2,0.9955939372576665,7
1,Betweenness,Fixed_0.2,0.9958583010222065,6
2,Random,Fixed_0.2,0.07190694395488191,8
2,Degree,Fixed_0.2,0.9955939372576665,7
2,Betweenness,Fixed_0.2,0.9958583010222065,6
3,Random,Fixed_0.2,0.9956820585125132,28
3,Degree,Fixed_0.2,0.9955939372576665,7
3,Betweenness,Fixed_0.2,0.9958583010222065,6
4,Random,Fixed_0.2,0.08371519210433556,41
4,Degree,Fixed_0.2,0.9955939372576665,7
4,Betweenness,Fixed_0.2,0.9958583010222065,6
0,Random,Uniform,0.1521854071201974,28
0,Degree,Uniform,0.7375749030666197,46
0,Betweenness,Uniform,0.6559746210786042,50
1,Random,Uniform,0.17254141698977793,37
1,Degree,Uniform,0.7136940430031724,50
1,Betweenness,Uniform,0.7045294324991188,50
2,Random,Uniform,0.3746915756080367,50
2,Degree,Uniform,0.8054282692985548,50
2,Betweenness,Uniform,0.7659499471272471,50
3,Random,Uniform,0.22329925978145929,50
3,Degree,Uniform,0.7777581952767008,50
3,Betweenness,Uniform,0.7371342967923863,50
4,Random,Uniform,0.21633768064857242,37
4,Degree,Uniform,0.7919457173070145,50
4,Betweenness,Uniform,0.7605745505816003,48
0,Random,Uniform,0.5444131124427212,30
0,Degree,Uniform,0.9243038420867113,50
0,Betweenness,Uniform,0.8670250264363765,38
