Strategy,Threshold_Dist,n_runs,mean_final,std_final,median_final,q25_final,q75_final,mean_time_to_conv,std_time_to_conv
Betweenness,Beta_High,500,0.044929000000000004,0.0037608172639714854,0.045,0.042375,0.0475,2.324,0.593066147162203
Betweenness,Beta_Low,500,0.999865,0.0003599084163176358,1.0,1.0,1.0,6.592,0.7003692126786676
Betweenness,Beta_Mid,500,0.334849,0.04311040144123978,0.3295,0.3045,0.361,13.51,4.554050807524554
Betweenness,Constant_0.4,500,0.2575,0.0,0.2575,0.2575,0.2575,15.0,0.0
Betweenness,Fixed_0.2,500,1.0,0.0,1.0,1.0,1.0,4.0,0.0
Betweenness,Normal,500,1.0,0.0,1.0,1.0,1.0,6.078,0.3348735292033729
Betweenness,Uniform,500,0.493691,0.04254302336075031,0.491,0.464,0.524125,13.46,3.2157553023090344
Degree,Beta_High,500,0.045527,0.0037788000290196163,0.0455,0.043,0.048,2.326,0.6103023331724625
Degree,Beta_Low,500,0.999865,0.0003599084163176358,1.0,1.0,1.0,6.566,0.7117986475326141
Degree,Beta_Mid,500,0.33795400000000003,0.044844374450310705,0.3355,0.306,0.362125,13.544,4.533118388554319
Degree,Constant_0.4,500,0.252,0.0,0.252,0.252,0.252,15.0,0.0
Degree,Fixed_0.2,500,1.0,0.0,1.0,1.0,1.0,4.0,0.0
Degree,Normal,500,1.0,0.0,1.0,1.0,1.0,6.088,0.35285267466754444
Degree,Uniform,500,0.49579199999999995,0.04081149215335758,0.49424999999999997,0.468,0.525,13.418,3.043320489070845
Random,Beta_High,500,0.010648,0.0007444490639510773,0.0105,0.01,0.011,0.642,0.50033656007401
Random,Beta_Low,500,0.950586,0.2106632564526583,1.0,1.0,1.0,15.826,3.9748361784217696
Random,Beta_Mid,500,0.019351,0.006533963909353755,0.018,0.0155,0.0215,2.754,1.3405514373990373
Random,Constant_0.4,500,0.012771000000000001,0.0023452204839282116,0.012,0.011,0.0135,1.08,0.38716895484942765
Random,Fixed_0.2,500,0.994341,0.07291611439508383,1.0,1.0,1.0,10.892,2.734829901324461
Random,Normal,500,0.052402000000000004,0.10688173279663472,0.034,0.027,0.0485,5.6,3.2082059114621506
Random,Uniform,500,0.06214,0.05044620937275822,0.0445,0.0305,0.072125,8.352,4.582367530476873
