Strategy,Threshold_Dist,n_runs,FinalAdoption,Final_STD,CascadeProb,Time50,Seeds,Efficiency
Betweenness,Beta_High,500,0.044929000000000004,0.0037608172639714854,0.0,2.324,20,0.00224645
Betweenness,Beta_Low,500,0.999865,0.0003599084163176358,1.0,6.592,20,0.04999325
Betweenness,Beta_Mid,500,0.334849,0.04311040144123978,0.002,13.51,20,0.01674245
Betweenness,Constant_0.4,500,0.2575,0.0,0.0,15.0,20,0.012875000000000001
Betweenness,Fixed_0.2,500,1.0,0.0,1.0,4.0,20,0.05
Betweenness,Normal,500,1.0,0.0,1.0,6.078,20,0.05
Betweenness,Uniform,500,0.493691,0.04254302336075031,0.428,13.46,20,0.02468455
Degree,Beta_High,500,0.045527,0.0037788000290196163,0.0,2.326,20,0.00227635
Degree,Beta_Low,500,0.999865,0.0003599084163176358,1.0,6.566,20,0.04999325
Degree,Beta_Mid,500,0.33795400000000003,0.044844374450310705,0.002,13.544,20,0.0168977
Degree,Constant_0.4,500,0.252,0.0,0.0,15.0,20,0.0126
Degree,Fixed_0.2,500,1.0,0.0,1.0,4.0,20,0.05
Degree,Normal,500,1.0,0.0,1.0,6.088,20,0.05
Degree,Uniform,500,0.49579199999999995,0.04081149215335758,0.442,13.418,20,0.0247896
Random,Beta_High,500,0.010648,0.0007444490639510773,0.0,0.642,20,0.0005323999999999999
Random,Beta_Low,500,0.950586,0.2106632564526583,0.948,15.826,20,0.047529300000000003
Random,Beta_Mid,500,0.019351,0.006533963909353755,0.0,2.754,20,0.00096755
Random,Constant_0.4,500,0.012771000000000001,0.0023452204839282116,0.0,1.08,20,0.0006385500000000001
Random,Fixed_0.2,500,0.994341,0.07291611439508383,0.994,10.892,20,0.04971705
Random,Normal,500,0.052402000000000004,0.10688173279663472,0.012,5.6,20,0.0026201
Random,Uniform,500,0.06214,0.05044620937275822,0.0,8.352,20,0.003107
