Trial,Strategy,Threshold_Dist,Final_Fraction,TimeToConverge
0,Random,Fixed_0.2,1.0,11
0,Degree,Fixed_0.2,1.0,4
0,Betweenness,Fixed_0.2,1.0,4
1,Random,Fixed_0.2,1.0,10
1,Degree,Fixed_0.2,1.0,4
1,Betweenness,Fixed_0.2,1.0,4
2,Random,Fixed_0.2,0.0695,11
2,Degree,Fixed_0.2,1.0,4
2,Betweenness,Fixed_0.2,1.0,4
3,Random,Fixed_0.2,1.0,11
3,Degree,Fixed_0.2,1.0,4
3,Betweenness,Fixed_0.2,1.0,4
4,Random,Fixed_0.2,1.0,9
4,Degree,Fixed_0.2,1.0,4
4,Betweenness,Fixed_0.2,1.0,4
5,Random,Fixed_0.2,1.0,8
5,Degree,Fixed_0.2,1.0,4
5,Betweenness,Fixed_0.2,1.0,4
6,Random,Fixed_0.2,1.0,13
6,Degree,Fixed_0.2,1.0,4
6,Betweenness,Fixed_0.2,1.0,4
7,Random,Fixed_0.2,1.0,34
7,Degree,Fixed_0.2,1.0,4
7,Betweenness,Fixed_0.2,1.0,4
8,Random,Fixed_0.2,1.0,11
8,Degree,Fixed_0.2,1.0,4
8,Betweenness,Fixed_0.2,1.0,4
9,Random,Fixed_0.2,1.0,12
9,Degree,Fixed_0.2,1.0,4
9,Betweenness,Fixed_0.2,1.0,4
0,Random,Uniform,0.059,8
0,Degree,Uniform,0.4205,9
0,Betweenness,Uniform,0.417,8
1,Random,Uniform,0.0235,4
1,Degree,Uniform,0.491,13
1,Betweenness,Uniform,0.4935,13
2,Random,Uniform,0.0455,6
2,Degree,Uniform,0.3855,12
2,Betweenness,Uniform,0.3845,12
3,Random,Uniform,0.0485,7
3,Degree,Uniform,0.5245,14
3,Betweenness,Uniform,0.53,13
4,Random,Uniform,0.065,8
4,Degree,Uniform,0.558,15
4,Betweenness,Uniform,0.578,16
5,Random,Uniform,0.1275,10
5,Degree,Uniform,0.458,9
5,Betweenness,Uniform,0.462,14
6,Random,Uniform,0.041,7
6,Degree,Uniform,0.4665,14
6,Betweenness,Uniform,0.4665,14
7,Random,Uniform,0.0445,9
7,Degree,Uniform,0.4985,11
7,Betweenness,Uniform,0.4865,9
8,Random,Uniform,0.0205,4
8,Degree,Uniform,0.537,14
8,Betweenness,Uniform,0.537,14
9,Random,Uniform,0.058,7
9,Degree,Uniform,0.5625,14
9,Betweenness,Uniform,0.544,12
0,Random,Beta_Low,1.0,20
0,Degree,Beta_Low,1.0,6
0,Betweenness,Beta_Low,1.0,6
1,Random,Beta_Low,1.0,14
1,Degree,Beta_Low,1.0,6
1,Betweenness,Beta_Low,1.0,6
2,Random,Beta_Low,1.0,15
2,Degree,Beta_Low,1.0,7
2,Betweenness,Beta_Low,1.0,6
3,Random,Beta_Low,1.0,16
3,Degree,Beta_Low,1.0,6
3,Betweenness,Beta_Low,1.0,6
4,Random,Beta_Low,0.0435,7
4,Degree,Beta_Low,1.0,6
4,Betweenness,Beta_Low,1.0,6
5,Random,Beta_Low,1.0,14
5,Degree,Beta_Low,1.0,6
5,Betweenness,Beta_Low,1.0,6
6,Random,Beta_Low,1.0,17
6,Degree,Beta_Low,1.0,6
6,Betweenness,Beta_Low,1.0,6
7,Random,Beta_Low,0.999,12
7,Degree,Beta_Low,0.999,6
7,Betweenness,Beta_Low,0.999,7
8,Random,Beta_Low,1.0,21
8,Degree,Beta_Low,1.0,6
8,Betweenness,Beta_Low,1.0,6
9,Random,Beta_Low,1.0,13
9,Degree,Beta_Low,1.0,6
9,Betweenness,Beta_Low,1.0,6
0,Random,Beta_Mid,0.021,4
0,Degree,Beta_Mid,0.378,12
0,Betweenness,Beta_Mid,0.392,14
1,Random,Beta_Mid,0.0145,1
1,Degree,Beta_Mid,0.3225,10
1,Betweenness,Beta_Mid,0.3645,20
2,Random,Beta_Mid,0.0155,1
2,Degree,Beta_Mid,0.272,9
2,Betweenness,Beta_Mid,0.2705,9
3,Random,Beta_Mid,0.025,3
3,Degree,Beta_Mid,0.434,24
3,Betweenness,Beta_Mid,0.4585,34
4,Random,Beta_Mid,0.022,4
4,Degree,Beta_Mid,0.305,16
4,Betweenness,Beta_Mid,0.328,16
5,Random,Beta_Mid,0.0215,5
5,Degree,Beta_Mid,0.297,15
5,Betweenness,Beta_Mid,0.2615,12
6,Random,Beta_Mid,0.0225,3
6,Degree,Beta_Mid,0.312,12
6,Betweenness,Beta_Mid,0.3055,10
7,Random,Beta_Mid,0.024,5
7,Degree,Beta_Mid,0.3505,11
7,Betweenness,Beta_Mid,0.3365,16
8,Random,Beta_Mid,0.0165,3
8,Degree,Beta_Mid,0.3405,17
8,Betweenness,Beta_Mid,0.332,13
9,Random,Beta_Mid,0.025,4
9,Degree,Beta_Mid,0.348,15
9,Betweenness,Beta_Mid,0.3525,14
0,Random,"Beta_High, Normal, Constant_0.4",0.012,1
0,Degree,"Beta_High, Normal, Constant_0.4",0.252,15
0,Betweenness,"Beta_High, Normal, Constant_0.4",0.2575,15
1,Random,"Beta_High, Normal, Constant_0.4",0.0105,1
1,Degree,"Beta_High, Normal, Constant_0.4",0.252,15
1,Betweenness,"Beta_High, Normal, Constant_0.4",0.2575,15
2,Random,"Beta_High, Normal, Constant_0.4",0.0105,1
2,Degree,"Beta_High, Normal, Constant_0.4",0.252,15
2,Betweenness,"Beta_High, Normal, Constant_0.4",0.2575,15
3,Random,"Beta_High, Normal, Constant_0.4",0.012,1
3,Degree,"Beta_High, Normal, Constant_0.4",0.252,15
3,Betweenness,"Beta_High, Normal, Constant_0.4",0.2575,15
4,Random,"Beta_High, Normal, Constant_0.4",0.01,0
4,Degree,"Beta_High, Normal, Constant_0.4",0.252,15
4,Betweenness,"Beta_High, Normal, Constant_0.4",0.2575,15
5,Random,"Beta_High, Normal, Constant_0.4",0.012,1
5,Degree,"Beta_High, Normal, Constant_0.4",0.252,15
5,Betweenness,"Beta_High, Normal, Constant_0.4",0.2575,15
6,Random,"Beta_High, Normal, Constant_0.4",0.0115,1
6,Degree,"Beta_High, Normal, Constant_0.4",0.252,15
6,Betweenness,"Beta_High, Normal, Constant_0.4",0.2575,15
7,Random,"Beta_High, Normal, Constant_0.4",0.011,1
7,Degree,"Beta_High, Normal, Constant_0.4",0.252,15
7,Betweenness,"Beta_High, Normal, Constant_0.4",0.2575,15
8,Random,"Beta_High, Normal, Constant_0.4",0.011,1
8,Degree,"Beta_High, Normal, Constant_0.4",0.252,15
8,Betweenness,"Beta_High, Normal, Constant_0.4",0.2575,15
9,Random,"Beta_High, Normal, Constant_0.4",0.0135,1
9,Degree,"Beta_High, Normal, Constant_0.4",0.252,15
9,Betweenness,"Beta_High, Normal, Constant_0.4",0.2575,15
10,Random,Fixed_0.2,1.0,8
10,Degree,Fixed_0.2,1.0,4
10,Betweenness,Fixed_0.2,1.0,4
10,Random,Uniform,0.1165,15
10,Degree,Uniform,0.478,14
10,Betweenness,Uniform,0.472,11
10,Random,Beta_Low,1.0,18
10,Degree,Beta_Low,1.0,7
10,Betweenness,Beta_Low,1.0,7
10,Random,Beta_Mid,0.019,2
10,Degree,Beta_Mid,0.33,14
10,Betweenness,Beta_Mid,0.3385,15
10,Random,"Beta_High, Normal, Constant_0.4",0.012,1
10,Degree,"Beta_High, Normal, Constant_0.4",0.252,15
10,Betweenness,"Beta_High, Normal, Constant_0.4",0.2575,15
11,Random,Fixed_0.2,1.0,11
11,Degree,Fixed_0.2,1.0,4
11,Betweenness,Fixed_0.2,1.0,4
11,Random,Uniform,0.033,4
11,Degree,Uniform,0.541,16
11,Betweenness,Uniform,0.541,13
11,Random,Beta_Low,1.0,11
11,Degree,Beta_Low,1.0,7
11,Betweenness,Beta_Low,1.0,7
11,Random,Beta_Mid,0.018,3
11,Degree,Beta_Mid,0.2735,7
11,Betweenness,Beta_Mid,0.2855,10
11,Random,"Beta_High, Normal, Constant_0.4",0.013,1
11,Degree,"Beta_High, Normal, Constant_0.4",0.252,15
11,Betweenness,"Beta_High, Normal, Constant_0.4",0.2575,15
12,Random,Fixed_0.2,1.0,8
12,Degree,Fixed_0.2,1.0,4
12,Betweenness,Fixed_0.2,1.0,4
12,Random,Uniform,0.0485,4
12,Degree,Uniform,0.5165,13
12,Betweenness,Uniform,0.5365,17
12,Random,Beta_Low,0.999,13
12,Degree,Beta_Low,0.999,6
12,Betweenness,Beta_Low,0.999,7
12,Random,Beta_Mid,0.0225,4
12,Degree,Beta_Mid,0.393,15
12,Betweenness,Beta_Mid,0.393,19
12,Random,"Beta_High, Normal, Constant_0.4",0.016,1
12,Degree,"Beta_High, Normal, Constant_0.4",0.252,15
12,Betweenness,"Beta_High, Normal, Constant_0.4",0.2575,15
13,Random,Fixed_0.2,1.0,9
13,Degree,Fixed_0.2,1.0,4
13,Betweenness,Fixed_0.2,1.0,4
13,Random,Uniform,0.068,5
13,Degree,Uniform,0.5275,13
13,Betweenness,Uniform,0.5275,13
13,Random,Beta_Low,0.999,23
13,Degree,Beta_Low,0.999,7
13,Betweenness,Beta_Low,0.999,7
13,Random,Beta_Mid,0.0135,3
13,Degree,Beta_Mid,0.2845,10
13,Betweenness,Beta_Mid,0.2955,11
13,Random,"Beta_High, Normal, Constant_0.4",0.0175,2
13,Degree,"Beta_High, Normal, Constant_0.4",0.252,15
13,Betweenness,"Beta_High, Normal, Constant_0.4",0.2575,15
14,Random,Fixed_0.2,1.0,13
14,Degree,Fixed_0.2,1.0,4
14,Betweenness,Fixed_0.2,1.0,4
14,Random,Uniform,0.047,5
14,Degree,Uniform,0.4735,13
14,Betweenness,Uniform,0.468,13
14,Random,Beta_Low,1.0,14
14,Degree,Beta_Low,1.0,6
14,Betweenness,Beta_Low,1.0,6
14,Random,Beta_Mid,0.0145,2
14,Degree,Beta_Mid,0.2955,12
14,Betweenness,Beta_Mid,0.2985,8
14,Random,"Beta_High, Normal, Constant_0.4",0.0105,1
14,Degree,"Beta_High, Normal, Constant_0.4",0.252,15
14,Betweenness,"Beta_High, Normal, Constant_0.4",0.2575,15
15,Random,Fixed_0.2,1.0,12
15,Degree,Fixed_0.2,1.0,4
15,Betweenness,Fixed_0.2,1.0,4
15,Random,Uniform,0.132,18
15,Degree,Uniform,0.563,19
15,Betweenness,Uniform,0.563,19
15,Random,Beta_Low,1.0,15
15,Degree,Beta_Low,1.0,6
15,Betweenness,Beta_Low,1.0,6
15,Random,Beta_Mid,0.0215,2
15,Degree,Beta_Mid,0.3575,10
15,Betweenness,Beta_Mid,0.3605,13
15,Random,"Beta_High, Normal, Constant_0.4",0.0115,1
15,Degree,"Beta_High, Normal, Constant_0.4",0.252,15
15,Betweenness,"Beta_High, Normal, Constant_0.4",0.2575,15
16,Random,Fixed_0.2,1.0,7
16,Degree,Fixed_0.2,1.0,4
16,Betweenness,Fixed_0.2,1.0,4
16,Random,Uniform,0.022,2
16,Degree,Uniform,0.5125,13
16,Betweenness,Uniform,0.5125,13
16,Random,Beta_Low,1.0,20
16,Degree,Beta_Low,1.0,9
16,Betweenness,Beta_Low,1.0,10
16,Random,Beta_Mid,0.0195,2
16,Degree,Beta_Mid,0.308,11
16,Betweenness,Beta_Mid,0.2955,10
16,Random,"Beta_High, Normal, Constant_0.4",0.013,1
16,Degree,"Beta_High, Normal, Constant_0.4",0.252,15
