Strategy,Threshold_Dist,n_runs,mean_final,std_final,median_final,q25_final,q75_final,mean_time_to_conv,std_time_to_conv
Betweenness,"Beta_High, Normal, Constant_0.4",500,0.2575,0.0,0.2575,0.2575,0.2575,15.0,0.0
Degree,"Beta_High, Normal, Constant_0.4",500,0.252,0.0,0.252,0.252,0.252,15.0,0.0
Random,"Beta_High, Normal, Constant_0.4",500,0.012897,0.0025267885389642893,0.012,0.011,0.014,1.088,0.41545300866019674
Betweenness,Beta_Low,500,0.999865,0.0003599084163176358,1.0,1.0,1.0,6.592,0.7003692126786676
Degree,Beta_Low,500,0.999865,0.0003599084163176358,1.0,1.0,1.0,6.566,0.7117986475326141
Random,Beta_Low,500,0.950586,0.2106632564526583,1.0,1.0,1.0,15.826,3.9748361784217696
Degree,Beta_Mid,500,0.33795400000000003,0.044844374450310705,0.3355,0.306,0.362125,13.544,4.533118388554319
Betweenness,Beta_Mid,500,0.334849,0.04311040144123978,0.3295,0.3045,0.361,13.51,4.554050807524554
Random,Beta_Mid,500,0.019351,0.006533963909353755,0.018,0.0155,0.0215,2.754,1.3405514373990373
Betweenness,Fixed_0.2,500,1.0,0.0,1.0,1.0,1.0,4.0,0.0
Degree,Fixed_0.2,500,1.0,0.0,1.0,1.0,1.0,4.0,0.0
Random,Fixed_0.2,500,0.994341,0.07291611439508383,1.0,1.0,1.0,10.892,2.734829901324461
Degree,Uniform,500,0.49579199999999995,0.04081149215335758,0.49424999999999997,0.468,0.525,13.418,3.043320489070845
Betweenness,Uniform,500,0.493691,0.04254302336075031,0.491,0.464,0.524125,13.46,3.2157553023090344
Random,Uniform,500,0.06214,0.05044620937275822,0.0445,0.0305,0.072125,8.352,4.582367530476873
