Strategy,Threshold_Dist,Final_Mean,Final_STD,TimeToConv_Mean,TimeToConv_STD
Betweenness,"Beta_High, Normal, Constant_0.4",0.2575,0.0,15.0,0.0
Betweenness,Beta_Low,0.9994813278008299,0.0005456393559514686,6.645766098048256,0.6952134067393396
Betweenness,Beta_Mid,0.334849,0.04306813083424622,13.51,4.549585470031088
Betweenness,Fixed_0.2,1.0,0.0,4.0,0.0
Betweenness,Uniform,0.493691,0.042501309079261695,13.46,3.2126021902055064
Degree,"Beta_High, Normal, Constant_0.4",0.252,0.0,15.0,0.0
Degree,Beta_Low,0.99948092894494,0.0005456594380197647,6.579513995693633,0.7086161082254234
Degree,Beta_Mid,0.33795400000000003,0.044800403648256125,13.544,4.52867357571443
Degree,Fixed_0.2,1.0,0.0,4.0,0.0
Degree,Uniform,0.49579199999999995,0.04077147567269463,13.418,3.040336452735112
Random,"Beta_High, Normal, Constant_0.4",0.012897,0.0025243109724904012,1.088,0.4150456487130307
Random,Beta_Low,0.89240048776239,0.30031585688857165,15.86499433847226,4.609949295909491
Random,Beta_Mid,0.019351,0.00652755722764146,2.754,1.3392370000226599
Random,Fixed_0.2,0.9766388705416116,0.1466097730397389,11.533685601056803,3.1859292250171243
Random,Uniform,0.06214,0.05039674586002293,8.352,4.577874427872721
