Strategy,Threshold_Dist,n_runs,FinalAdoption,Final_STD,CascadeProb,Time50,Seeds,Efficiency
Betweenness,Beta_High,500,0.01282,0.0007930054952084895,0.0,1.06,20,0.000641
Betweenness,Beta_Low,500,0.9954540000000001,0.00024083189157585625,1.0,7.292,20,0.0497727
Betweenness,Beta_Mid,500,0.074467,0.06387975153609031,0.004,7.74,20,0.0037233500000000003
Betweenness,Constant_0.4,500,0.021,0.0,0.0,2.0,20,0.0010500000000000002
Betweenness,Fixed_0.2,500,0.9955,0.0,1.0,9.0,20,0.049775
Betweenness,Normal,500,0.969493,0.14988860743992705,0.972,16.114,20,0.04847465
Betweenness,Uniform,500,0.671729,0.1289261570315887,0.886,31.968,20,0.033586450000000004
Degree,Beta_High,500,0.01143,0.0006811960482212339,0.0,1.052,20,0.0005715
Degree,Beta_Low,500,0.9954540000000001,0.00024083189157585625,1.0,7.224,20,0.0497727
Degree,Beta_Mid,500,0.06737699999999999,0.05734774536804035,0.004,7.236,20,0.0033688499999999996
Degree,Constant_0.4,500,0.0165,0.0,0.0,2.0,20,0.000825
Degree,Fixed_0.2,500,0.9955,0.0,1.0,9.0,20,0.049775
Degree,Normal,500,0.9581270000000001,0.1803072343765969,0.96,15.672,20,0.04790635
Degree,Uniform,500,0.678336,0.12275716984966296,0.908,32.342,20,0.033916800000000004
Random,Beta_High,500,0.010143000000000001,0.0002668208889377798,0.0,0.252,20,0.00050715
Random,Beta_Low,500,0.388327,0.46805311451480985,0.372,11.238,20,0.01941635
Random,Beta_Mid,500,0.011849,0.0013176385478139944,0.0,1.338,20,0.00059245
Random,Constant_0.4,500,0.010336,0.0004832919845027115,0.0,0.446,20,0.0005168
Random,Fixed_0.2,500,0.0141,0.006756500618012434,0.0,2.382,20,0.000705
Random,Normal,500,0.013779999999999999,0.002251608198367984,0.0,1.766,20,0.0006889999999999999
Random,Uniform,500,0.184418,0.16359939118956146,0.076,22.442,20,0.0092209
