Trial,Strategy,Threshold_Dist,Final_Fraction,TimeToConverge
0,Random,Fixed_0.2,0.0135,2
0,Degree,Fixed_0.2,0.9955,9
0,Betweenness,Fixed_0.2,0.9955,9
1,Random,Fixed_0.2,0.0155,2
1,Degree,Fixed_0.2,0.9955,9
1,Betweenness,Fixed_0.2,0.9955,9
2,Random,Fixed_0.2,0.0115,1
2,Degree,Fixed_0.2,0.9955,9
2,Betweenness,Fixed_0.2,0.9955,9
3,Random,Fixed_0.2,0.0125,2
3,Degree,Fixed_0.2,0.9955,9
3,Betweenness,Fixed_0.2,0.9955,9
4,Random,Fixed_0.2,0.0425,16
4,Degree,Fixed_0.2,0.9955,9
4,Betweenness,Fixed_0.2,0.9955,9
5,Random,Fixed_0.2,0.011,1
5,Degree,Fixed_0.2,0.9955,9
5,Betweenness,Fixed_0.2,0.9955,9
6,Random,Fixed_0.2,0.0115,2
6,Degree,Fixed_0.2,0.9955,9
6,Betweenness,Fixed_0.2,0.9955,9
7,Random,Fixed_0.2,0.0115,2
7,Degree,Fixed_0.2,0.9955,9
7,Betweenness,Fixed_0.2,0.9955,9
8,Random,Fixed_0.2,0.0115,1
8,Degree,Fixed_0.2,0.9955,9
8,Betweenness,Fixed_0.2,0.9955,9
9,Random,Fixed_0.2,0.013,2
9,Degree,Fixed_0.2,0.9955,9
9,Betweenness,Fixed_0.2,0.9955,9
0,Random,Uniform,0.1415,27
0,Degree,Uniform,0.4815,17
0,Betweenness,Uniform,0.4925,19
1,Random,Uniform,0.089,15
1,Degree,Uniform,0.545,29
1,Betweenness,Uniform,0.5425,24
2,Random,Uniform,0.096,17
2,Degree,Uniform,0.633,39
2,Betweenness,Uniform,0.494,21
3,Random,Uniform,0.087,13
3,Degree,Uniform,0.4895,27
3,Betweenness,Uniform,0.6025,43
4,Random,Uniform,0.1215,25
4,Degree,Uniform,0.571,35
4,Betweenness,Uniform,0.588,41
5,Random,Uniform,0.0355,6
5,Degree,Uniform,0.77,39
5,Betweenness,Uniform,0.726,28
6,Random,Uniform,0.1265,23
6,Degree,Uniform,0.7755,46
6,Betweenness,Uniform,0.7375,40
7,Random,Uniform,0.0785,11
7,Degree,Uniform,0.7425,32
7,Betweenness,Uniform,0.7525,27
8,Random,Uniform,0.069,12
8,Degree,Uniform,0.893,35
8,Betweenness,Uniform,0.897,36
9,Random,Uniform,0.035,6
9,Degree,Uniform,0.705,35
9,Betweenness,Uniform,0.703,37
0,Random,Beta_Low,0.0195,3
0,Degree,Beta_Low,0.9955,8
0,Betweenness,Beta_Low,0.9955,8
1,Random,Beta_Low,0.0245,6
1,Degree,Beta_Low,0.9955,7
1,Betweenness,Beta_Low,0.9955,7
2,Random,Beta_Low,0.0205,4
2,Degree,Beta_Low,0.9955,7
2,Betweenness,Beta_Low,0.9955,7
3,Random,Beta_Low,0.026,8
3,Degree,Beta_Low,0.9955,8
3,Betweenness,Beta_Low,0.9955,8
4,Random,Beta_Low,0.996,19
4,Degree,Beta_Low,0.9955,8
4,Betweenness,Beta_Low,0.9955,8
5,Random,Beta_Low,0.048,12
5,Degree,Beta_Low,0.9955,6
5,Betweenness,Beta_Low,0.9955,7
6,Random,Beta_Low,0.025,8
6,Degree,Beta_Low,0.9955,7
6,Betweenness,Beta_Low,0.9955,7
7,Random,Beta_Low,0.0195,7
7,Degree,Beta_Low,0.9955,7
7,Betweenness,Beta_Low,0.9955,7
8,Random,Beta_Low,0.0165,3
8,Degree,Beta_Low,0.9955,9
8,Betweenness,Beta_Low,0.9955,9
9,Random,Beta_Low,0.025,4
9,Degree,Beta_Low,0.9955,7
9,Betweenness,Beta_Low,0.9955,7
0,Random,Beta_Mid,0.0125,2
0,Degree,Beta_Mid,0.048,5
0,Betweenness,Beta_Mid,0.0515,4
1,Random,Beta_Mid,0.0105,1
1,Degree,Beta_Mid,0.0705,8
1,Betweenness,Beta_Mid,0.068,5
2,Random,Beta_Mid,0.0115,1
2,Degree,Beta_Mid,0.058,8
2,Betweenness,Beta_Mid,0.0695,8
3,Random,Beta_Mid,0.012,2
