Trial,Strategy,Threshold_Dist,Step,Adoption_Fraction,Final_Fraction,TimeToConverge
0,Random,Fixed_0.2,0,0.01,1.0,15
0,Random,Fixed_0.2,1,0.0225,1.0,15
0,Random,Fixed_0.2,2,0.033,1.0,15
0,Random,Fixed_0.2,3,0.041,1.0,15
0,Random,Fixed_0.2,4,0.051,1.0,15
0,Random,Fixed_0.2,5,0.065,1.0,15
0,Random,Fixed_0.2,6,0.0765,1.0,15
0,Random,Fixed_0.2,7,0.09,1.0,15
0,Random,Fixed_0.2,8,0.1085,1.0,15
0,Random,Fixed_0.2,9,0.139,1.0,15
0,Random,Fixed_0.2,10,0.176,1.0,15
0,Random,Fixed_0.2,11,0.255,1.0,15
0,Random,Fixed_0.2,12,0.445,1.0,15
0,Random,Fixed_0.2,13,0.8485,1.0,15
0,Random,Fixed_0.2,14,0.999,1.0,15
0,Random,Fixed_0.2,15,1.0,1.0,15
0,Degree,Fixed_0.2,0,0.01,1.0,4
0,Degree,Fixed_0.2,1,0.4705,1.0,4
0,Degree,Fixed_0.2,2,0.8395,1.0,4
0,Degree,Fixed_0.2,3,0.9965,1.0,4
0,Degree,Fixed_0.2,4,1.0,1.0,4
0,Betweenness,Fixed_0.2,0,0.01,1.0,4
0,Betweenness,Fixed_0.2,1,0.4705,1.0,4
0,Betweenness,Fixed_0.2,2,0.8385,1.0,4
0,Betweenness,Fixed_0.2,3,0.9985,1.0,4
0,Betweenness,Fixed_0.2,4,1.0,1.0,4
1,Random,Fixed_0.2,0,0.01,1.0,11
1,Random,Fixed_0.2,1,0.027,1.0,11
1,Random,Fixed_0.2,2,0.0425,1.0,11
1,Random,Fixed_0.2,3,0.063,1.0,11
1,Random,Fixed_0.2,4,0.084,1.0,11
1,Random,Fixed_0.2,5,0.117,1.0,11
1,Random,Fixed_0.2,6,0.174,1.0,11
1,Random,Fixed_0.2,7,0.2475,1.0,11
1,Random,Fixed_0.2,8,0.4265,1.0,11
1,Random,Fixed_0.2,9,0.851,1.0,11
1,Random,Fixed_0.2,10,0.9985,1.0,11
1,Random,Fixed_0.2,11,1.0,1.0,11
1,Degree,Fixed_0.2,0,0.01,1.0,4
1,Degree,Fixed_0.2,1,0.4705,1.0,4
1,Degree,Fixed_0.2,2,0.8395,1.0,4
1,Degree,Fixed_0.2,3,0.9965,1.0,4
1,Degree,Fixed_0.2,4,1.0,1.0,4
1,Betweenness,Fixed_0.2,0,0.01,1.0,4
1,Betweenness,Fixed_0.2,1,0.4705,1.0,4
1,Betweenness,Fixed_0.2,2,0.8385,1.0,4
1,Betweenness,Fixed_0.2,3,0.9985,1.0,4
1,Betweenness,Fixed_0.2,4,1.0,1.0,4
2,Random,Fixed_0.2,0,0.01,1.0,12
2,Random,Fixed_0.2,1,0.0265,1.0,12
2,Random,Fixed_0.2,2,0.0405,1.0,12
2,Random,Fixed_0.2,3,0.0565,1.0,12
2,Random,Fixed_0.2,4,0.07,1.0,12
2,Random,Fixed_0.2,5,0.0895,1.0,12
2,Random,Fixed_0.2,6,0.1175,1.0,12
2,Random,Fixed_0.2,7,0.152,1.0,12
2,Random,Fixed_0.2,8,0.1975,1.0,12
2,Random,Fixed_0.2,9,0.2805,1.0,12
2,Random,Fixed_0.2,10,0.5155,1.0,12
2,Random,Fixed_0.2,11,0.911,1.0,12
2,Random,Fixed_0.2,12,1.0,1.0,12
2,Degree,Fixed_0.2,0,0.01,1.0,4
2,Degree,Fixed_0.2,1,0.4705,1.0,4
2,Degree,Fixed_0.2,2,0.8395,1.0,4
2,Degree,Fixed_0.2,3,0.9965,1.0,4
2,Degree,Fixed_0.2,4,1.0,1.0,4
2,Betweenness,Fixed_0.2,0,0.01,1.0,4
2,Betweenness,Fixed_0.2,1,0.4705,1.0,4
2,Betweenness,Fixed_0.2,2,0.8385,1.0,4
2,Betweenness,Fixed_0.2,3,0.9985,1.0,4
2,Betweenness,Fixed_0.2,4,1.0,1.0,4
3,Random,Fixed_0.2,0,0.01,1.0,10
3,Random,Fixed_0.2,1,0.0395,1.0,10
3,Random,Fixed_0.2,2,0.064,1.0,10
3,Random,Fixed_0.2,3,0.088,1.0,10
3,Random,Fixed_0.2,4,0.1175,1.0,10
3,Random,Fixed_0.2,5,0.1705,1.0,10
3,Random,Fixed_0.2,6,0.258,1.0,10
3,Random,Fixed_0.2,7,0.435,1.0,10
3,Random,Fixed_0.2,8,0.7925,1.0,10
3,Random,Fixed_0.2,9,0.9995,1.0,10
3,Random,Fixed_0.2,10,1.0,1.0,10
3,Degree,Fixed_0.2,0,0.01,1.0,4
3,Degree,Fixed_0.2,1,0.4705,1.0,4
3,Degree,Fixed_0.2,2,0.8395,1.0,4
3,Degree,Fixed_0.2,3,0.9965,1.0,4
3,Degree,Fixed_0.2,4,1.0,1.0,4
3,Betweenness,Fixed_0.2,0,0.01,1.0,4
3,Betweenness,Fixed_0.2,1,0.4705,1.0,4
3,Betweenness,Fixed_0.2,2,0.8385,1.0,4
3,Betweenness,Fixed_0.2,3,0.9985,1.0,4
3,Betweenness,Fixed_0.2,4,1.0,1.0,4
4,Random,Fixed_0.2,0,0.01,1.0,10
4,Random,Fixed_0.2,1,0.0375,1.0,10
4,Random,Fixed_0.2,2,0.0635,1.0,10
4,Random,Fixed_0.2,3,0.0855,1.0,10
4,Random,Fixed_0.2,4,0.111,1.0,10
4,Random,Fixed_0.2,5,0.136,1.0,10
4,Random,Fixed_0.2,6,0.1875,1.0,10
4,Random,Fixed_0.2,7,0.276,1.0,10
4,Random,Fixed_0.2,8,0.4755,1.0,10
4,Random,Fixed_0.2,9,0.9245,1.0,10
4,Random,Fixed_0.2,10,1.0,1.0,10
4,Degree,Fixed_0.2,0,0.01,1.0,4
4,Degree,Fixed_0.2,1,0.4705,1.0,4
4,Degree,Fixed_0.2,2,0.8395,1.0,4
4,Degree,Fixed_0.2,3,0.9965,1.0,4
4,Degree,Fixed_0.2,4,1.0,1.0,4
4,Betweenness,Fixed_0.2,0,0.01,1.0,4
4,Betweenness,Fixed_0.2,1,0.4705,1.0,4
4,Betweenness,Fixed_0.2,2,0.8385,1.0,4
4,Betweenness,Fixed_0.2,3,0.9985,1.0,4
4,Betweenness,Fixed_0.2,4,1.0,1.0,4
5,Random,Fixed_0.2,0,0.01,1.0,9
5,Random,Fixed_0.2,1,0.039,1.0,9
5,Random,Fixed_0.2,2,0.073,1.0,9
5,Random,Fixed_0.2,3,0.1055,1.0,9
5,Random,Fixed_0.2,4,0.1455,1.0,9
5,Random,Fixed_0.2,5,0.198,1.0,9
5,Random,Fixed_0.2,6,0.31,1.0,9
5,Random,Fixed_0.2,7,0.5745,1.0,9
5,Random,Fixed_0.2,8,0.9645,1.0,9
5,Random,Fixed_0.2,9,1.0,1.0,9
5,Degree,Fixed_0.2,0,0.01,1.0,4
5,Degree,Fixed_0.2,1,0.4705,1.0,4
5,Degree,Fixed_0.2,2,0.8395,1.0,4
5,Degree,Fixed_0.2,3,0.9965,1.0,4
5,Degree,Fixed_0.2,4,1.0,1.0,4
5,Betweenness,Fixed_0.2,0,0.01,1.0,4
5,Betweenness,Fixed_0.2,1,0.4705,1.0,4
5,Betweenness,Fixed_0.2,2,0.8385,1.0,4
5,Betweenness,Fixed_0.2,3,0.9985,1.0,4
5,Betweenness,Fixed_0.2,4,1.0,1.0,4
6,Random,Fixed_0.2,0,0.01,1.0,8
6,Random,Fixed_0.2,1,0.049,1.0,8
6,Random,Fixed_0.2,2,0.087,1.0,8
6,Random,Fixed_0.2,3,0.1235,1.0,8
6,Random,Fixed_0.2,4,0.174,1.0,8
6,Random,Fixed_0.2,5,0.279,1.0,8
6,Random,Fixed_0.2,6,0.5085,1.0,8
6,Random,Fixed_0.2,7,0.898,1.0,8
6,Random,Fixed_0.2,8,1.0,1.0,8
6,Degree,Fixed_0.2,0,0.01,1.0,4
6,Degree,Fixed_0.2,1,0.4705,1.0,4
6,Degree,Fixed_0.2,2,0.8395,1.0,4
6,Degree,Fixed_0.2,3,0.9965,1.0,4
6,Degree,Fixed_0.2,4,1.0,1.0,4
6,Betweenness,Fixed_0.2,0,0.01,1.0,4
6,Betweenness,Fixed_0.2,1,0.4705,1.0,4
6,Betweenness,Fixed_0.2,2,0.8385,1.0,4
6,Betweenness,Fixed_0.2,3,0.9985,1.0,4
6,Betweenness,Fixed_0.2,4,1.0,1.0,4
7,Random,Fixed_0.2,0,0.01,1.0,11
7,Random,Fixed_0.2,1,0.0305,1.0,11
7,Random,Fixed_0.2,2,0.052,1.0,11
7,Random,Fixed_0.2,3,0.0675,1.0,11
7,Random,Fixed_0.2,4,0.0815,1.0,11
7,Random,Fixed_0.2,5,0.11,1.0,11
7,Random,Fixed_0.2,6,0.1415,1.0,11
7,Random,Fixed_0.2,7,0.1915,1.0,11
7,Random,Fixed_0.2,8,0.2925,1.0,11
7,Random,Fixed_0.2,9,0.5335,1.0,11
7,Random,Fixed_0.2,10,0.9435,1.0,11
7,Random,Fixed_0.2,11,1.0,1.0,11
7,Degree,Fixed_0.2,0,0.01,1.0,4
7,Degree,Fixed_0.2,1,0.4705,1.0,4
7,Degree,Fixed_0.2,2,0.8395,1.0,4
7,Degree,Fixed_0.2,3,0.9965,1.0,4
7,Degree,Fixed_0.2,4,1.0,1.0,4
7,Betweenness,Fixed_0.2,0,0.01,1.0,4
7,Betweenness,Fixed_0.2,1,0.4705,1.0,4
7,Betweenness,Fixed_0.2,2,0.8385,1.0,4
7,Betweenness,Fixed_0.2,3,0.9985,1.0,4
7,Betweenness,Fixed_0.2,4,1.0,1.0,4
8,Random,Fixed_0.2,0,0.01,1.0,13
8,Random,Fixed_0.2,1,0.025,1.0,13
8,Random,Fixed_0.2,2,0.039,1.0,13
8,Random,Fixed_0.2,3,0.0525,1.0,13
8,Random,Fixed_0.2,4,0.066,1.0,13
8,Random,Fixed_0.2,5,0.0855,1.0,13
8,Random,Fixed_0.2,6,0.1115,1.0,13
8,Random,Fixed_0.2,7,0.1395,1.0,13
8,Random,Fixed_0.2,8,0.1805,1.0,13
8,Random,Fixed_0.2,9,0.2485,1.0,13
