Strategy,Threshold_Dist,n_runs,mean_final,std_final,median_final,q25_final,q75_final,mean_time_to_conv,std_time_to_conv
Degree,Beta_High,10,0.04133768064857244,0.031155331651153906,0.04093232287627776,0.011764187522030314,0.07076136764187523,2.4,1.1737877907772674
Betweenness,Beta_High,10,0.03652626013394431,0.026962104045819776,0.035512865703207615,0.010949065914698625,0.06247796968628834,2.3,1.5670212364724212
Random,Beta_High,10,0.030243214663376806,0.02130902407219159,0.03009340853013747,0.010045823052520268,0.05047144871342968,1.0,0.4714045207910317
Betweenness,Beta_Low,12,0.995498472564916,0.00013784625396111514,0.9955939372576665,0.9953295734931266,0.9955939372576665,8.5,2.4308621740219887
Degree,Beta_Low,12,0.995366290682646,0.0001215151893639893,0.9953295734931266,0.9953295734931266,0.9953516038068382,8.0,1.4770978917519928
Random,Beta_Low,12,0.7517697685348373,0.44095315191443407,0.9954176947479733,0.7518505463517801,0.9955278463165316,15.583333333333334,13.38559832148875
Degree,Beta_Symmetric,10,0.6396721889319703,0.3282797759613875,0.7216690165667958,0.30754317941487486,0.9320585125132181,34.3,13.671137480107499
Betweenness,Beta_Symmetric,10,0.500687345787804,0.43677802251139325,0.4705675008812126,0.08829749735636236,0.9304723299259782,26.9,12.582615873586152
Random,Beta_Symmetric,10,0.03913464927740571,0.029267710425058553,0.03798026083891435,0.011654035953471977,0.06637733521325344,4.5,3.0276503540974913
Betweenness,Constant_0.05,10,0.9957261191399365,0.00013933193779380775,0.9957261191399365,0.9955939372576665,0.9958583010222065,3.5,0.5270462766947299
Random,Constant_0.05,10,0.9957261191399365,0.00011931674310649787,0.9957261191399366,0.9956159675713783,0.9957701797673599,4.5,0.8498365855987974
Degree,Constant_0.05,5,0.9955939372576665,0.0,0.9955939372576665,0.9955939372576665,0.9955939372576665,3.0,0.0
Betweenness,Constant_0.1,10,0.9957261191399365,0.00013933193779380775,0.9957261191399365,0.9955939372576665,0.9958583010222065,4.0,1.0540925533894598
Random,Constant_0.1,10,0.9956996827634825,0.00012322980239345597,0.9956820585125132,0.9955939372576665,0.9957481494536482,8.6,4.351245032554858
Degree,Constant_0.1,10,0.9955939372576665,0.0,0.9955939372576665,0.9955939372576665,0.9955939372576665,4.5,0.5270462766947298
Betweenness,Constant_0.15,10,0.9957261191399365,0.00013933193779380775,0.9957261191399365,0.9955939372576665,0.9958583010222065,5.5,1.5811388300841898
Degree,Constant_0.15,10,0.9955939372576665,0.0,0.9955939372576665,0.9955939372576665,0.9955939372576665,5.5,0.5270462766947298
Random,Constant_0.15,10,0.5049259781459288,0.5173608110437298,0.5070056397603102,0.013658794501233699,0.9957481494536482,8.8,3.32665998663324
Betweenness,Constant_0.2,10,0.9957261191399365,0.00013933193779380775,0.9957261191399365,0.9955939372576665,0.9958583010222065,8.5,2.6352313834736494
Degree,Constant_0.2,10,0.9955939372576665,0.0,0.9955939372576665,0.9955939372576665,0.9955939372576665,8.0,1.0540925533894596
Random,Constant_0.2,10,0.5038508988367995,0.5186216809075693,0.5045823052520269,0.011587945012336976,0.9958362707084949,20.2,18.42582728430697
Degree,Constant_0.3,10,0.9955939372576665,0.0,0.9955939372576665,0.9955939372576665,0.9955939372576665,25.0,11.595018087284059
Betweenness,Constant_0.3,10,0.5137909763835037,0.5081435771340359,0.5137909763835037,0.031723651744800845,0.9958583010222065,10.5,5.797509043642029
Random,Constant_0.3,10,0.03168840324286218,0.022411236968827186,0.031194924215720832,0.010420338385618611,0.052123722241804726,2.6,1.7763883459298968
Degree,Constant_0.4,10,0.47647162495593937,0.4832031602689434,0.47647162495593937,0.01806485724356715,0.9348783926683116,13.0,11.595018087284059
Betweenness,Constant_0.4,10,0.4748854423686993,0.48506091943952756,0.47488544236869934,0.014716249559393726,0.9350546351780049,14.5,13.176156917368248
Random,Constant_0.4,10,0.030763130066972157,0.021745721813484796,0.030666196686640817,0.010133944307366936,0.051286570320761365,1.4,0.699205898780101
Betweenness,Fixed_0.2,12,0.9957261191399365,0.00013805947335223886,0.9957261191399365,0.9955939372576665,0.9958583010222065,8.5,2.6111648393354674
Degree,Fixed_0.2,12,0.9955939372576665,0.0,0.9955939372576665,0.9955939372576665,0.9955939372576665,8.0,1.0444659357341868
Random,Fixed_0.2,12,0.27794912466220184,0.43438909164794004,0.04203383856186112,0.011367641875220304,0.3420426506873458,14.5,15.323778314051069
Betweenness,Normal,10,0.9954970038773352,0.00020540634164076764,0.9955498766302432,0.9953295734931266,0.9955939372576665,15.3,5.657836257007719
Degree,Normal,10,0.9953648219950653,0.0001326705415419665,0.9953295734931266,0.9952634825519915,0.9953956644342616,13.3,3.6530048514126623
Random,Normal,10,0.04481847021501586,0.033342357525709874,0.04198977793443778,0.013306309481847023,0.07474885442368699,7.4,4.550946177566936
Degree,Uniform,12,0.8437169545294325,0.07787160346228539,0.8545118082481495,0.788398836799436,0.9170558688755728,41.0,11.901107664262335
Betweenness,Uniform,12,0.8026671366466925,0.08607755535312453,0.8143725766654917,0.7356802960874163,0.8693602396898132,40.916666666666664,8.659816640231146
Random,Uniform,12,0.45628451415814825,0.2519505870723971,0.4595523440253789,0.22155886499823757,0.6498061332393373,43.166666666666664,8.277387964518248
